Movie_Name,City,Theatre_Name,Ticket_Price,No_of_Tickets_Sold,Total_Revenue,Booking_Date,Release_Date
Singham Again,Lucknow,Carnival Cinemas,434,161,69874,2024-11-15,2024-11-22
Singham Again,Lucknow,Carnival Cinemas,577,45,25965,2024-11-12,2024-11-19
Bhool Bhulaiyaa 3,Delhi,PVR,407,184,74888,2024-11-19,2024-12-10
Chandu Champion,Chennai,Wave Cinemas,586,93,54498,2024-11-03,2024-11-22
Sam Bahadur,Ahmedabad,INOX,240,151,36240,2025-01-15,2025-02-03
Animal,Mumbai,Wave Cinemas,283,98,27734,2024-10-06,2024-11-01
Bade Miyan Chote Miyan,Hyderabad,INOX,359,108,38772,2024-12-02,2024-12-14
Chandu Champion,Chandigarh,PVR,248,29,7192,2024-11-20,2024-12-17
Guntur Kaaram,Chennai,Cinepolis,471,140,65940,2025-01-26,2025-02-20
Metro In Dino,Delhi,Miraj Cinemas,567,139,78813,2025-01-01,2025-01-10
Metro In Dino,Delhi,PVR,200,96,19200,2025-02-06,2025-02-17
Emergency,Indore,Miraj Cinemas,519,27,14013,2024-12-17,2024-12-31
Mr. and Mrs. Mahi,Pune,PVR,559,109,60931,2024-11-12,2024-11-22
Yodha,Hyderabad,PVR,274,42,11508,2024-11-14,2024-12-08
Guntur Kaaram,Mumbai,Miraj Cinemas,476,92,43792,2025-01-20,2025-02-11
Animal,Bhopal,Carnival Cinemas,268,99,26532,2024-12-15,2025-01-10
Metro In Dino,Pune,Carnival Cinemas,190,187,35530,2024-10-22,2024-11-17
Guntur Kaaram,Bangalore,Cinepolis,317,138,43746,2024-12-26,2025-01-16
Yodha,Pune,Miraj Cinemas,276,116,32016,2025-01-24,2025-02-14
Guntur Kaaram,Delhi,Carnival Cinemas,298,47,14006,2024-12-22,2025-01-19
Tiger 3,Delhi,Miraj Cinemas,443,125,55375,2024-12-08,2025-01-02
Dunki,Indore,INOX,533,66,35178,2024-12-20,2025-01-18
Bhool Bhulaiyaa 3,Hyderabad,Wave Cinemas,437,10,4370,2024-11-23,2024-12-02
Animal,Indore,Carnival Cinemas,372,113,42036,2024-12-11,2025-01-05
The Crew,Bhopal,Carnival Cinemas,584,142,82928,2024-12-31,2025-01-27
Metro In Dino,Delhi,PVR,534,97,51798,2024-11-06,2024-11-14
Chandu Champion,Bangalore,Carnival Cinemas,508,27,13716,2025-02-04,2025-02-22
Metro In Dino,Delhi,Wave Cinemas,459,33,15147,2024-11-21,2024-11-28
Merry Christmas,Delhi,Wave Cinemas,594,137,81378,2024-12-27,2025-01-25
Singham Again,Delhi,Wave Cinemas,383,50,19150,2024-12-31,2025-01-11
Yodha,Pune,Wave Cinemas,592,26,15392,2024-10-24,2024-11-18
Metro In Dino,Ahmedabad,Miraj Cinemas,498,75,37350,2024-11-03,2024-11-23
Merry Christmas,Ahmedabad,Miraj Cinemas,450,162,72900,2024-12-06,2024-12-28
Mr. and Mrs. Mahi,Bangalore,INOX,243,197,47871,2024-10-07,2024-11-06
Stree 2,Mumbai,Carnival Cinemas,218,98,21364,2025-01-05,2025-02-03
Salaar,Bangalore,INOX,386,70,27020,2024-11-06,2024-11-26
Chandu Champion,Ahmedabad,Carnival Cinemas,246,176,43296,2024-10-27,2024-11-19
Jigra,Ahmedabad,PVR,290,190,55100,2024-12-07,2024-12-24
Mr. and Mrs. Mahi,Kolkata,Miraj Cinemas,406,57,23142,2025-02-11,2025-02-26
Emergency,Ahmedabad,Cinepolis,443,38,16834,2024-11-04,2024-11-13
Fighter,Mumbai,Wave Cinemas,246,92,22632,2024-11-09,2024-11-28
Dunki,Bhopal,PVR,416,16,6656,2024-12-31,2025-01-23
Jigra,Ahmedabad,PVR,507,181,91767,2025-01-04,2025-01-20
Fighter,Ahmedabad,Wave Cinemas,491,122,59902,2024-11-06,2024-12-06
Singham Again,Bangalore,Miraj Cinemas,454,175,79450,2025-02-13,2025-02-27
Singham Again,Chandigarh,Cinepolis,392,39,15288,2024-12-03,2024-12-30
Fighter,Chandigarh,Miraj Cinemas,437,82,35834,2024-10-12,2024-11-06
War 2,Delhi,PVR,593,61,36173,2025-02-21,2025-02-28
Mr. and Mrs. Mahi,Bangalore,Cinepolis,203,97,19691,2024-11-28,2024-12-25
Bade Miyan Chote Miyan,Hyderabad,Cinepolis,321,41,13161,2025-01-02,2025-02-01
Metro In Dino,Bhopal,Carnival Cinemas,467,14,6538,2024-12-12,2025-01-06
Chandu Champion,Chennai,INOX,334,82,27388,2024-11-21,2024-12-18
Fighter,Pune,INOX,565,180,101700,2024-12-02,2024-12-29
Sam Bahadur,Pune,Carnival Cinemas,268,159,42612,2024-10-16,2024-11-15
Sam Bahadur,Bhopal,Carnival Cinemas,328,138,45264,2025-01-06,2025-02-02
Dunki,Mumbai,Miraj Cinemas,371,178,66038,2024-12-06,2024-12-16
Tiger 3,Ahmedabad,PVR,418,92,38456,2024-12-30,2025-01-08
Sam Bahadur,Bangalore,Cinepolis,481,151,72631,2025-01-06,2025-01-13
Metro In Dino,Lucknow,Miraj Cinemas,445,111,49395,2025-01-17,2025-02-05
War 2,Mumbai,PVR,585,89,52065,2024-12-12,2024-12-24
War 2,Chennai,Cinepolis,257,17,4369,2024-11-07,2024-11-28
Fighter,Bhopal,Miraj Cinemas,561,188,105468,2024-10-24,2024-11-07
War 2,Chandigarh,Miraj Cinemas,471,84,39564,2024-12-19,2025-01-13
Dunki,Chennai,Cinepolis,281,145,40745,2024-10-24,2024-11-04
Dunki,Mumbai,Cinepolis,481,125,60125,2024-11-24,2024-12-22
Tiger 3,Kolkata,PVR,550,150,82500,2024-12-26,2025-01-22
Jigra,Bhopal,Wave Cinemas,590,85,50150,2024-11-24,2024-12-08
Bade Miyan Chote Miyan,Indore,Miraj Cinemas,435,133,57855,2025-01-14,2025-01-27
Animal,Bangalore,Miraj Cinemas,470,176,82720,2024-11-11,2024-11-28
Jigra,Delhi,PVR,515,57,29355,2024-10-09,2024-11-07
Sam Bahadur,Mumbai,Carnival Cinemas,386,132,50952,2024-12-01,2024-12-23
Stree 2,Hyderabad,Wave Cinemas,598,164,98072,2024-10-26,2024-11-10
Mr. and Mrs. Mahi,Lucknow,Carnival Cinemas,301,11,3311,2025-01-22,2025-02-13
Bhool Bhulaiyaa 3,Kolkata,Wave Cinemas,282,79,22278,2024-10-17,2024-11-01
Guntur Kaaram,Bhopal,Carnival Cinemas,377,190,71630,2025-02-11,2025-02-26
Mr. and Mrs. Mahi,Chennai,Cinepolis,343,121,41503,2025-01-07,2025-01-31
Chandu Champion,Indore,Cinepolis,483,159,76797,2024-10-18,2024-11-01
Bade Miyan Chote Miyan,Indore,INOX,243,83,20169,2024-11-05,2024-11-28
Metro In Dino,Delhi,Wave Cinemas,360,107,38520,2025-01-06,2025-01-23
The Crew,Jaipur,Cinepolis,531,119,63189,2025-02-03,2025-02-27
Bhool Bhulaiyaa 3,Kolkata,Cinepolis,522,97,50634,2025-01-18,2025-02-08
Chandu Champion,Chandigarh,Cinepolis,569,110,62590,2024-12-02,2024-12-30
Bhool Bhulaiyaa 3,Kolkata,Wave Cinemas,560,142,79520,2024-12-01,2024-12-08
Salaar,Jaipur,Cinepolis,275,141,38775,2025-01-13,2025-01-25
Guntur Kaaram,Pune,Cinepolis,186,181,33666,2025-02-01,2025-02-13
Pushpa 2,Kolkata,Wave Cinemas,187,74,13838,2024-11-15,2024-12-06
Tiger 3,Ahmedabad,Wave Cinemas,320,144,46080,2025-02-07,2025-02-23
Dunki,Jaipur,Wave Cinemas,460,26,11960,2024-12-12,2024-12-26
Merry Christmas,Delhi,Miraj Cinemas,597,141,84177,2024-10-24,2024-11-10
Tiger 3,Jaipur,Carnival Cinemas,339,45,15255,2024-11-15,2024-12-01
Mr. and Mrs. Mahi,Bhopal,Miraj Cinemas,584,86,50224,2024-12-01,2024-12-20
Emergency,Ahmedabad,Cinepolis,291,94,27354,2024-11-14,2024-11-23
Bade Miyan Chote Miyan,Pune,PVR,197,38,7486,2024-11-28,2024-12-25
Sam Bahadur,Lucknow,Cinepolis,209,115,24035,2024-11-02,2024-11-21
The Crew,Mumbai,Wave Cinemas,407,17,6919,2024-10-15,2024-11-11
Singham Again,Hyderabad,Carnival Cinemas,470,142,66740,2025-02-04,2025-02-19
The Diplomat,Delhi,Miraj Cinemas,445,181,80545,2024-12-01,2024-12-14
Chandu Champion,Delhi,INOX,401,64,25664,2025-01-31,2025-02-21
The Diplomat,Bhopal,Carnival Cinemas,390,13,5070,2025-01-11,2025-01-24
Guntur Kaaram,Bhopal,INOX,589,40,23560,2024-12-19,2025-01-13
Salaar,Indore,Miraj Cinemas,412,81,33372,2024-12-12,2024-12-27
Guntur Kaaram,Bhopal,INOX,587,72,42264,2025-01-08,2025-01-29
Chandu Champion,Kolkata,Miraj Cinemas,455,55,25025,2024-11-23,2024-12-13
Dunki,Chennai,INOX,194,163,31622,2024-10-19,2024-11-08
Jigra,Chandigarh,Cinepolis,567,124,70308,2024-10-24,2024-11-03
Pushpa 2,Bangalore,INOX,367,20,7340,2024-10-21,2024-11-15
Singham Again,Bangalore,Cinepolis,383,113,43279,2024-11-27,2024-12-25
Bade Miyan Chote Miyan,Chandigarh,Cinepolis,571,127,72517,2024-10-31,2024-11-11
Jigra,Ahmedabad,INOX,562,185,103970,2024-11-05,2024-11-23
Bade Miyan Chote Miyan,Bhopal,Carnival Cinemas,199,53,10547,2024-12-10,2024-12-21
Salaar,Bhopal,Cinepolis,232,169,39208,2024-12-05,2024-12-18
Pushpa 2,Bangalore,PVR,364,137,49868,2024-11-20,2024-12-03
Tiger 3,Jaipur,Miraj Cinemas,540,53,28620,2025-01-18,2025-02-15
Singham Again,Indore,Miraj Cinemas,429,21,9009,2024-11-14,2024-11-24
Dunki,Mumbai,Miraj Cinemas,225,187,42075,2024-12-17,2025-01-05
Singham Again,Bhopal,Cinepolis,336,81,27216,2024-11-26,2024-12-06
Chandu Champion,Ahmedabad,Cinepolis,469,34,15946,2024-12-18,2024-12-29
Dunki,Hyderabad,PVR,316,185,58460,2025-02-10,2025-02-25
Animal,Chennai,INOX,433,93,40269,2024-12-18,2025-01-15
Singham Again,Lucknow,Wave Cinemas,252,34,8568,2025-02-04,2025-02-13
Tiger 3,Chennai,Carnival Cinemas,572,136,77792,2025-01-26,2025-02-12
Mr. and Mrs. Mahi,Ahmedabad,Wave Cinemas,234,69,16146,2025-02-10,2025-02-24
Yodha,Ahmedabad,Miraj Cinemas,594,193,114642,2025-01-23,2025-02-07
Sam Bahadur,Indore,Cinepolis,475,188,89300,2024-11-30,2024-12-22
Guntur Kaaram,Chennai,Miraj Cinemas,278,127,35306,2025-01-20,2025-02-09
Animal,Bangalore,Carnival Cinemas,385,143,55055,2025-01-27,2025-02-22
Guntur Kaaram,Chandigarh,Miraj Cinemas,404,27,10908,2024-11-25,2024-12-15
Emergency,Jaipur,INOX,598,87,52026,2024-10-28,2024-11-19
War 2,Lucknow,Carnival Cinemas,333,50,16650,2025-01-04,2025-01-12
The Crew,Ahmedabad,Cinepolis,370,133,49210,2024-12-23,2025-01-06
Metro In Dino,Pune,INOX,517,63,32571,2025-02-03,2025-02-25
The Crew,Chandigarh,Carnival Cinemas,511,93,47523,2024-12-14,2024-12-25
Bade Miyan Chote Miyan,Ahmedabad,PVR,360,11,3960,2025-01-20,2025-01-29
Pushpa 2,Chandigarh,Miraj Cinemas,407,15,6105,2025-01-04,2025-01-25
Guntur Kaaram,Chandigarh,Miraj Cinemas,463,27,12501,2024-12-23,2025-01-06
Bade Miyan Chote Miyan,Mumbai,Carnival Cinemas,385,98,37730,2024-12-31,2025-01-18
Animal,Ahmedabad,Wave Cinemas,371,39,14469,2024-11-17,2024-12-14
Tiger 3,Kolkata,Miraj Cinemas,571,198,113058,2024-10-24,2024-11-11
Fighter,Chandigarh,Cinepolis,412,68,28016,2024-10-29,2024-11-10
Dunki,Hyderabad,PVR,309,132,40788,2024-10-07,2024-11-01
Sam Bahadur,Chandigarh,Cinepolis,329,122,40138,2025-01-24,2025-02-20
Pushpa 2,Chennai,Cinepolis,479,132,63228,2025-01-03,2025-01-28
Mr. and Mrs. Mahi,Hyderabad,Wave Cinemas,411,40,16440,2025-01-18,2025-01-28
Guntur Kaaram,Jaipur,Miraj Cinemas,276,191,52716,2024-12-21,2025-01-09
Salaar,Lucknow,Cinepolis,352,121,42592,2024-12-16,2025-01-07
Animal,Kolkata,Carnival Cinemas,311,161,50071,2025-01-15,2025-02-07
Bhool Bhulaiyaa 3,Bangalore,Cinepolis,269,81,21789,2024-11-13,2024-12-10
Tiger 3,Pune,Cinepolis,276,98,27048,2024-10-07,2024-11-04
Tiger 3,Bhopal,Cinepolis,281,32,8992,2025-01-17,2025-01-25
Metro In Dino,Bhopal,Carnival Cinemas,489,50,24450,2024-12-19,2025-01-16
The Diplomat,Ahmedabad,PVR,330,126,41580,2025-01-18,2025-02-07
Fighter,Bhopal,PVR,292,38,11096,2024-12-09,2025-01-07
The Diplomat,Bhopal,Carnival Cinemas,280,97,27160,2024-12-18,2025-01-07
Pushpa 2,Hyderabad,Miraj Cinemas,185,66,12210,2024-11-22,2024-12-02
The Diplomat,Pune,PVR,351,49,17199,2024-10-31,2024-11-18
Yodha,Pune,PVR,412,197,81164,2024-12-29,2025-01-24
Bade Miyan Chote Miyan,Jaipur,Cinepolis,327,54,17658,2024-11-13,2024-11-22
Bhool Bhulaiyaa 3,Bhopal,Cinepolis,204,108,22032,2024-11-10,2024-12-01
Jigra,Kolkata,Cinepolis,219,65,14235,2024-11-25,2024-12-16
Dunki,Kolkata,PVR,577,138,79626,2024-10-31,2024-11-10
Tiger 3,Kolkata,Miraj Cinemas,478,11,5258,2024-10-30,2024-11-20
Stree 2,Lucknow,Cinepolis,390,96,37440,2025-01-02,2025-01-28
Singham Again,Chandigarh,Wave Cinemas,554,133,73682,2024-10-21,2024-11-17
Bade Miyan Chote Miyan,Jaipur,Carnival Cinemas,390,100,39000,2024-11-07,2024-11-23
Animal,Delhi,PVR,183,200,36600,2024-12-19,2024-12-30
Yodha,Chandigarh,Wave Cinemas,329,58,19082,2024-12-20,2025-01-07
Guntur Kaaram,Delhi,Miraj Cinemas,491,54,26514,2024-11-29,2024-12-19
Guntur Kaaram,Kolkata,PVR,374,174,65076,2024-11-12,2024-12-12
Animal,Ahmedabad,Wave Cinemas,457,54,24678,2024-10-27,2024-11-12
Guntur Kaaram,Indore,Wave Cinemas,358,179,64082,2024-11-02,2024-11-13
The Crew,Ahmedabad,PVR,324,181,58644,2024-12-11,2024-12-21
Guntur Kaaram,Indore,Miraj Cinemas,545,135,73575,2025-01-19,2025-02-01
Dunki,Indore,Cinepolis,332,191,63412,2025-02-01,2025-02-28
Guntur Kaaram,Jaipur,PVR,520,13,6760,2024-11-12,2024-11-27
Guntur Kaaram,Kolkata,Carnival Cinemas,286,112,32032,2025-02-02,2025-02-12
Mr. and Mrs. Mahi,Pune,Wave Cinemas,474,18,8532,2025-01-15,2025-01-31
War 2,Jaipur,Miraj Cinemas,251,40,10040,2025-01-22,2025-02-09
Mr. and Mrs. Mahi,Lucknow,Cinepolis,383,34,13022,2025-01-14,2025-02-04
The Crew,Pune,PVR,340,74,25160,2025-02-15,2025-02-23
Animal,Bangalore,Miraj Cinemas,478,31,14818,2024-12-02,2024-12-25
Dunki,Indore,PVR,600,114,68400,2025-02-05,2025-02-26
Chandu Champion,Hyderabad,Wave Cinemas,571,11,6281,2024-11-04,2024-11-26
Metro In Dino,Bhopal,INOX,252,133,33516,2025-01-26,2025-02-12
Jigra,Jaipur,Cinepolis,475,77,36575,2025-01-14,2025-01-27
Yodha,Lucknow,PVR,188,44,8272,2024-12-02,2024-12-14
Bhool Bhulaiyaa 3,Chennai,Wave Cinemas,239,90,21510,2025-01-14,2025-02-03
Metro In Dino,Hyderabad,INOX,309,154,47586,2024-11-23,2024-12-19
Jigra,Indore,INOX,583,147,85701,2024-10-28,2024-11-23
Metro In Dino,Jaipur,Cinepolis,300,22,6600,2025-01-04,2025-01-16
War 2,Indore,Wave Cinemas,474,64,30336,2025-02-15,2025-02-22
Yodha,Bhopal,PVR,490,115,56350,2025-02-08,2025-02-22
Sam Bahadur,Delhi,INOX,228,134,30552,2024-12-15,2024-12-29
Yodha,Kolkata,INOX,254,28,7112,2024-11-15,2024-12-13
Tiger 3,Chennai,Carnival Cinemas,364,137,49868,2024-10-08,2024-11-06
Mr. and Mrs. Mahi,Chandigarh,Wave Cinemas,592,77,45584,2025-02-07,2025-02-25
Dunki,Mumbai,Cinepolis,344,13,4472,2025-01-20,2025-02-04
Merry Christmas,Ahmedabad,Cinepolis,437,194,84778,2024-11-08,2024-11-15
Mr. and Mrs. Mahi,Lucknow,Carnival Cinemas,343,193,66199,2024-11-09,2024-11-26
Bhool Bhulaiyaa 3,Bhopal,Miraj Cinemas,434,165,71610,2025-02-03,2025-02-23
The Diplomat,Chandigarh,Cinepolis,372,112,41664,2024-12-27,2025-01-07
Stree 2,Chennai,Cinepolis,466,125,58250,2024-12-24,2024-12-31
The Crew,Lucknow,Wave Cinemas,576,143,82368,2024-10-23,2024-11-17
Yodha,Chandigarh,Miraj Cinemas,595,156,92820,2024-11-03,2024-11-28
Fighter,Ahmedabad,Cinepolis,557,182,101374,2024-11-20,2024-12-12
Sam Bahadur,Hyderabad,Cinepolis,484,44,21296,2024-12-14,2024-12-22
Metro In Dino,Bhopal,Cinepolis,472,76,35872,2025-01-11,2025-01-21
The Crew,Mumbai,Cinepolis,418,58,24244,2024-12-11,2024-12-29
Jigra,Delhi,Cinepolis,507,111,56277,2025-01-03,2025-01-25
War 2,Lucknow,Carnival Cinemas,397,87,34539,2024-12-11,2024-12-21
Pushpa 2,Pune,Wave Cinemas,328,194,63632,2024-11-21,2024-12-06
Merry Christmas,Ahmedabad,Cinepolis,401,167,66967,2024-11-06,2024-11-17
Merry Christmas,Ahmedabad,Cinepolis,442,59,26078,2025-01-31,2025-02-12
Stree 2,Bhopal,Carnival Cinemas,235,57,13395,2024-12-28,2025-01-05
Tiger 3,Hyderabad,Cinepolis,488,102,49776,2025-01-10,2025-01-19
Guntur Kaaram,Delhi,Wave Cinemas,560,43,24080,2024-11-10,2024-11-26
The Diplomat,Kolkata,Miraj Cinemas,199,188,37412,2024-12-29,2025-01-18
Jigra,Chandigarh,PVR,205,178,36490,2025-02-01,2025-02-16
Metro In Dino,Hyderabad,Cinepolis,476,139,66164,2024-12-22,2025-01-10
War 2,Bhopal,INOX,188,89,16732,2024-11-05,2024-11-19
Salaar,Delhi,Cinepolis,336,39,13104,2024-12-31,2025-01-08
Merry Christmas,Chandigarh,Carnival Cinemas,484,183,88572,2024-11-10,2024-12-06
Bade Miyan Chote Miyan,Hyderabad,Carnival Cinemas,600,25,15000,2024-12-16,2024-12-30
The Diplomat,Hyderabad,Wave Cinemas,188,111,20868,2024-12-16,2025-01-14
Emergency,Kolkata,PVR,348,58,20184,2024-10-14,2024-11-08
Guntur Kaaram,Pune,Carnival Cinemas,412,86,35432,2024-11-28,2024-12-10
Jigra,Bangalore,Carnival Cinemas,469,181,84889,2025-01-24,2025-02-09
The Crew,Lucknow,Wave Cinemas,469,166,77854,2025-01-25,2025-02-04
Mr. and Mrs. Mahi,Chennai,INOX,283,19,5377,2024-12-26,2025-01-06
Animal,Hyderabad,Miraj Cinemas,384,23,8832,2024-10-31,2024-11-10
Jigra,Jaipur,Carnival Cinemas,368,139,51152,2024-11-26,2024-12-08
Dunki,Bhopal,PVR,445,46,20470,2024-11-30,2024-12-28
Yodha,Bhopal,PVR,506,10,5060,2024-11-30,2024-12-19
Pushpa 2,Lucknow,Miraj Cinemas,272,157,42704,2024-10-31,2024-11-20
Salaar,Pune,Carnival Cinemas,471,43,20253,2024-10-11,2024-11-01
Metro In Dino,Mumbai,PVR,332,168,55776,2024-11-21,2024-12-19
Guntur Kaaram,Kolkata,Wave Cinemas,331,34,11254,2024-12-04,2024-12-13
Animal,Chennai,Carnival Cinemas,560,176,98560,2025-01-31,2025-02-07
The Crew,Delhi,Cinepolis,425,72,30600,2024-10-15,2024-11-13
Animal,Chennai,Carnival Cinemas,237,98,23226,2025-01-20,2025-01-27
Metro In Dino,Bhopal,PVR,230,49,11270,2024-12-19,2025-01-07
War 2,Lucknow,Wave Cinemas,436,123,53628,2024-10-18,2024-11-13
Sam Bahadur,Bhopal,Cinepolis,509,171,87039,2024-11-09,2024-11-20
War 2,Lucknow,INOX,549,154,84546,2025-02-06,2025-02-18
Sam Bahadur,Pune,INOX,439,176,77264,2025-02-06,2025-02-28
Jigra,Jaipur,Cinepolis,319,29,9251,2025-01-03,2025-01-24
Chandu Champion,Bhopal,Carnival Cinemas,416,45,18720,2024-12-12,2025-01-09
Bade Miyan Chote Miyan,Indore,Wave Cinemas,240,190,45600,2024-12-31,2025-01-16
Guntur Kaaram,Bhopal,PVR,533,86,45838,2024-12-06,2024-12-31
The Crew,Mumbai,PVR,491,124,60884,2025-01-15,2025-01-26
Chandu Champion,Jaipur,Miraj Cinemas,299,67,20033,2025-01-26,2025-02-17
Guntur Kaaram,Mumbai,Miraj Cinemas,458,49,22442,2024-12-02,2024-12-29
Bhool Bhulaiyaa 3,Mumbai,Wave Cinemas,490,131,64190,2024-12-30,2025-01-20
Yodha,Bhopal,Wave Cinemas,321,114,36594,2024-11-30,2024-12-10
Metro In Dino,Jaipur,Wave Cinemas,305,129,39345,2024-11-12,2024-11-27
Jigra,Chandigarh,INOX,361,118,42598,2024-11-16,2024-12-12
Stree 2,Bhopal,Wave Cinemas,238,181,43078,2024-12-14,2025-01-03
Bade Miyan Chote Miyan,Chennai,Cinepolis,562,119,66878,2024-11-13,2024-12-12
Fighter,Chandigarh,INOX,497,11,5467,2025-02-13,2025-02-20
Jigra,Mumbai,PVR,374,186,69564,2025-02-03,2025-02-26
Fighter,Indore,Wave Cinemas,569,76,43244,2024-10-30,2024-11-22
Sam Bahadur,Jaipur,Cinepolis,522,138,72036,2024-11-28,2024-12-28
Animal,Mumbai,Cinepolis,185,113,20905,2024-11-19,2024-12-18
Fighter,Indore,Cinepolis,547,74,40478,2025-01-16,2025-02-05
Salaar,Delhi,Miraj Cinemas,562,186,104532,2025-01-10,2025-01-29
Jigra,Mumbai,Miraj Cinemas,393,164,64452,2024-10-10,2024-11-08
Bhool Bhulaiyaa 3,Chennai,INOX,463,187,86581,2024-12-27,2025-01-10
Sam Bahadur,Indore,INOX,389,100,38900,2024-11-19,2024-12-19
Jigra,Chandigarh,Wave Cinemas,466,169,78754,2025-01-13,2025-01-20
Fighter,Chennai,Cinepolis,505,155,78275,2024-11-10,2024-11-17
Animal,Bhopal,Cinepolis,405,20,8100,2024-12-29,2025-01-07
Metro In Dino,Delhi,Cinepolis,451,200,90200,2025-01-16,2025-01-30
Emergency,Kolkata,Wave Cinemas,546,90,49140,2025-01-24,2025-02-09
Guntur Kaaram,Bangalore,PVR,193,11,2123,2025-01-19,2025-02-10
Pushpa 2,Indore,Cinepolis,526,167,87842,2025-01-22,2025-02-20
